Id,Expected
0_0_0,458.6666666666667
0_0_1,459.0
0_0_2,461.0
0_0_3,452.3333333333333
0_0_4,421.3333333333333
0_0_5,447.0
0_0_6,482.0
0_0_7,471.6666666666667
0_0_8,487.3333333333333
0_0_9,479.0
0_0_10,457.3333333333333
0_0_11,454.3333333333333
0_0_12,483.3333333333333
0_0_13,459.0
0_0_14,464.3333333333333
0_0_15,456.6666666666667
0_0_16,458.6666666666667
0_0_17,467.3333333333333
0_0_18,509.3333333333333
0_0_19,511.0
0_0_20,501.3333333333333
0_0_21,481.0
0_0_22,489.0
0_0_23,448.3333333333333
0_0_24,491.3333333333333
0_0_25,492.6666666666667
0_0_26,464.6666666666667
0_0_27,461.3333333333333
0_0_28,458.0
0_0_29,481.0
0_0_30,485.3333333333333
0_0_31,454.6666666666667
0_0_32,447.0
0_0_33,417.3333333333333
0_0_34,398.6666666666667
0_0_35,384.3333333333333
0_0_36,363.3333333333333
0_0_37,361.3333333333333
0_0_38,360.6666666666667
0_0_39,362.3333333333333
0_0_40,338.3333333333333
0_0_41,349.3333333333333
0_0_42,334.0
0_0_43,322.0
0_0_44,329.3333333333333
0_0_45,357.6666666666667
0_0_46,322.6666666666667
0_0_47,293.3333333333333
0_0_48,297.0
0_0_49,343.3333333333333
0_0_50,291.3333333333333
0_0_51,284.3333333333333
0_0_52,275.0
0_0_53,278.0
0_0_54,267.6666666666667
0_0_55,300.3333333333333
0_0_56,285.3333333333333
0_0_57,282.0
0_0_58,289.3333333333333
0_0_59,297.0
0_0_60,289.6666666666667
0_0_61,289.0
0_0_62,298.3333333333333
0_0_63,286.3333333333333
0_0_64,260.3333333333333
0_0_65,270.0
0_0_66,290.6666666666667
0_0_67,294.6666666666667
0_0_68,301.0
0_0_69,265.6666666666667
0_0_70,266.6666666666667
0_0_71,243.33333333333334
0_0_72,255.66666666666666
0_0_73,262.6666666666667
0_0_74,256.6666666666667
0_0_75,225.66666666666666
0_0_76,221.0
0_0_77,228.0
0_0_78,237.0
0_0_79,232.33333333333334
0_0_80,212.0
0_0_81,226.33333333333334
0_0_82,196.0
0_0_83,201.0
0_0_84,193.33333333333334
0_0_85,177.66666666666666
0_0_86,182.33333333333334
0_0_87,170.33333333333334
0_0_88,172.33333333333334
0_0_89,156.0
0_0_90,141.33333333333334
0_0_91,143.66666666666666
0_0_92,152.33333333333334
0_0_93,126.33333333333333
0_0_94,128.66666666666666
0_0_95,124.0
0_0_96,118.66666666666667
0_0_97,130.0
0_0_98,123.0
0_0_99,105.0
0_1_0,0.15126666666666666
0_1_1,0.14896666666666666
0_1_2,0.15016666666666667
0_1_3,0.15123333333333336
0_1_4,0.13466666666666666
0_1_5,0.14966666666666664
0_1_6,0.16033333333333333
0_1_7,0.14793333333333333
0_1_8,0.1536
0_1_9,0.14733333333333332
0_1_10,0.1438
0_1_11,0.1505
0_1_12,0.15593333333333334
0_1_13,0.14116666666666666
0_1_14,0.14059999999999997
0_1_15,0.1424
0_1_16,0.14700000000000002
0_1_17,0.14780000000000001
0_1_18,0.1582
0_1_19,0.16103333333333333
0_1_20,0.1574
0_1_21,0.14663333333333337
0_1_22,0.147
0_1_23,0.1386666666666667
0_1_24,0.1549
0_1_25,0.1512
0_1_26,0.13723333333333335
0_1_27,0.14253333333333335
0_1_28,0.1449
0_1_29,0.15239999999999998
0_1_30,0.15623333333333334
0_1_31,0.14946666666666666
0_1_32,0.1425
0_1_33,0.13446666666666665
0_1_34,0.13166666666666668
0_1_35,0.12146666666666667
0_1_36,0.12420000000000002
0_1_37,0.12103333333333333
0_1_38,0.12833333333333333
0_1_39,0.1265666666666667
0_1_40,0.12196666666666667
0_1_41,0.11473333333333331
0_1_42,0.11406666666666666
0_1_43,0.111
0_1_44,0.11669999999999998
0_1_45,0.12216666666666669
0_1_46,0.11603333333333334
0_1_47,0.10010000000000001
0_1_48,0.09786666666666667
0_1_49,0.11893333333333334
0_1_50,0.10716666666666667
0_1_51,0.10160000000000001
0_1_52,0.09726666666666667
0_1_53,0.10160000000000001
0_1_54,0.09773333333333334
0_1_55,0.1012
0_1_56,0.10406666666666668
0_1_57,0.0956
0_1_58,0.10573333333333333
0_1_59,0.10123333333333333
0_1_60,0.10210000000000001
0_1_61,0.10343333333333334
0_1_62,0.09766666666666668
0_1_63,0.10493333333333334
0_1_64,0.08996666666666665
0_1_65,0.09849999999999999
0_1_66,0.10126666666666667
0_1_67,0.09873333333333334
0_1_68,0.10816666666666667
0_1_69,0.09926666666666667
0_1_70,0.09516666666666666
0_1_71,0.09486666666666665
0_1_72,0.09723333333333332
0_1_73,0.0971
0_1_74,0.0981
0_1_75,0.07686666666666665
0_1_76,0.08
0_1_77,0.08646666666666665
0_1_78,0.0837
0_1_79,0.083
0_1_80,0.0792
0_1_81,0.0841
0_1_82,0.07616666666666666
0_1_83,0.0788
0_1_84,0.07746666666666667
0_1_85,0.06910000000000001
0_1_86,0.0752
0_1_87,0.07233333333333335
0_1_88,0.07256666666666667
0_1_89,0.063
0_1_90,0.06163333333333334
0_1_91,0.06396666666666667
0_1_92,0.0689
0_1_93,0.061533333333333336
0_1_94,0.05833333333333333
0_1_95,0.057499999999999996
0_1_96,0.054966666666666664
0_1_97,0.0631
0_1_98,0.05803333333333333
0_1_99,0.05213333333333333
0_2_0,62.93333333333334
0_2_1,63.4
0_2_2,63.63333333333333
0_2_3,63.1
0_2_4,63.833333333333336
0_2_5,63.0
0_2_6,62.96666666666667
0_2_7,64.03333333333332
0_2_8,64.2
0_2_9,64.93333333333334
0_2_10,65.0
0_2_11,63.70000000000001
0_2_12,63.333333333333336
0_2_13,64.06666666666666
0_2_14,65.16666666666667
0_2_15,65.13333333333334
0_2_16,65.33333333333334
0_2_17,65.13333333333334
0_2_18,65.2
0_2_19,65.06666666666668
0_2_20,64.26666666666667
0_2_21,64.46666666666667
0_2_22,66.03333333333333
0_2_23,65.66666666666667
0_2_24,65.13333333333334
0_2_25,65.06666666666668
0_2_26,66.39999999999999
0_2_27,66.13333333333334
0_2_28,64.93333333333334
0_2_29,64.63333333333334
0_2_30,64.06666666666666
0_2_31,63.866666666666674
0_2_32,64.39999999999999
0_2_33,65.10000000000001
0_2_34,64.86666666666667
0_2_35,65.16666666666667
0_2_36,65.10000000000001
0_2_37,65.0
0_2_38,63.333333333333336
0_2_39,63.23333333333333
0_2_40,62.96666666666666
0_2_41,63.93333333333334
0_2_42,64.0
0_2_43,64.2
0_2_44,63.133333333333326
0_2_45,63.26666666666667
0_2_46,63.36666666666667
0_2_47,64.0
0_2_48,65.13333333333334
0_2_49,64.3
0_2_50,63.1
0_2_51,63.43333333333333
0_2_52,63.300000000000004
0_2_53,63.1
